specObjID,z,type,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,w1mpro,w1snr,w2mpro,w2snr,w3mpro,w3snr,w4mpro,w4snr
343502302985873408,4.7289170000000006e-05,ps,23.610529999999997,21.710179999999998,20.11453,19.29421,18.75368,23.763939999999998,21.64121,20.062820000000002,19.23784,18.690579999999997,0.124851,0.09728307,0.06729998,0.05001109,0.03719907,15.612,23.8,15.419,10.2,12.542,1.2,9.427,-0.7
343503952253315072,0.1249595,ext,21.790670000000002,18.991529999999997,17.70358,17.38443,17.02121,20.38102,17.27554,16.08183,15.60581,15.258770000000002,0.13194579999999997,0.10281130000000001,0.07112437,0.05285303,0.03931294,12.985999999999999,46.5,12.829,40.4,12.057,5.0,8.63,2.0
342441274197960704,-5.201738e-05,ps,21.25481,18.9046,17.725189999999998,16.409110000000002,15.80561,21.10148,18.78361,17.4994,16.36557,15.727910000000001,0.1249194,0.09733632,0.06733682,0.05003847,0.03721943,13.485999999999999,44.1,13.39,34.1,12.556,1.1,9.097999999999999,0.9
342447052472477696,-3.923602e-05,ps,21.25481,18.9046,17.725189999999998,16.409110000000002,15.80561,21.10148,18.78361,17.4994,16.36557,15.727910000000001,0.1249194,0.09733632,0.06733682,0.05003847,0.03721943,13.485999999999999,44.1,13.39,34.1,12.556,1.1,9.097999999999999,0.9
343489383724247040,8.836474000000001e-05,ps,19.590989999999998,17.32418,16.499010000000002,15.907370000000002,15.687479999999999,19.46226,17.271060000000002,16.28501,15.888639999999999,15.625160000000001,0.123182,0.09598262,0.06640033,0.04934256,0.0367018,13.789000000000001,42.0,13.844000000000001,27.6,12.931,2.1,9.231,0.3
343489108846340096,0.10314000000000001,ext,20.04267,18.67093,17.88411,17.52336,17.23469,19.19419,17.74652,16.9306,16.51776,16.225929999999998,0.11456989999999999,0.08927208,0.06175801,0.04589282,0.03413583,13.734000000000002,42.6,13.507,33.3,10.502,18.1,8.531,4.4
342439899808425984,-0.00011227100000000001,ps,19.17582,16.94715,16.25874,15.719370000000001,15.58549,19.04916,16.881,16.0105,15.76395,15.525039999999999,0.1172674,0.09137399,0.0632121,0.04697337,0.03493956,13.885,41.5,13.98,26.5,12.79,2.6,9.236,0.6
342437431745734656,-0.00010577620000000001,ps,19.17582,16.94715,16.25874,15.719370000000001,15.58549,19.04916,16.881,16.0105,15.76395,15.525039999999999,0.1172674,0.09137399,0.0632121,0.04697337,0.03493956,13.885,41.5,13.98,26.5,12.79,2.6,9.236,0.6
342438800296798208,0.1673057,ext,21.83069,19.81864,18.705560000000002,18.02975,17.84385,20.12282,18.13332,17.02223,16.41392,16.08011,0.1222739,0.09527501,0.06591081,0.04897879,0.03643122,14.064,40.3,13.823,29.1,12.962,2.2,9.066,0.9
342434957844572160,0.1672326,ext,21.83069,19.81864,18.705560000000002,18.02975,17.84385,20.12282,18.13332,17.02223,16.41392,16.08011,0.1222739,0.09527501,0.06591081,0.04897879,0.03643122,14.064,40.3,13.823,29.1,12.962,2.2,9.066,0.9
343501753230059520,0.15989589999999998,ext,21.209870000000002,19.716079999999998,18.75274,18.31031,18.03118,20.029120000000002,18.49602,17.55309,17.06531,16.76602,0.118057,0.0919892,0.06363769999999999,0.04728964,0.035174800000000006,14.215,40.9,13.729000000000001,29.1,10.027999999999999,26.8,7.718,8.9
343500653718431744,0.1594429,ext,21.25284,19.36133,18.176679999999998,17.81375,17.465139999999998,20.496760000000002,18.634320000000002,17.544220000000003,17.0937,16.7424,0.130342,0.10156160000000002,0.07025984,0.05221059,0.03883509,14.234000000000002,39.1,14.083,25.4,13.045,-0.3,9.415,-1.0
343489658602153984,0.0003691701,ps,18.177139999999998,16.76369,16.452820000000003,15.966879999999998,15.893870000000001,18.06444,16.74513,16.183989999999998,15.9896,15.77774,0.1281755,0.0998735,0.06909202,0.05134278,0.03818959,14.339,37.2,14.292,23.2,12.387,1.8,9.13,0.8
342449526373640192,8.2336e-05,ps,19.17054,17.22196,16.60171,16.25255,16.0772,19.092489999999998,17.18096,16.45876,16.1816,16.016560000000002,0.13300479999999998,0.1036364,0.07169519,0.05327721,0.03962845,14.460999999999999,36.9,14.543,19.2,13.004000000000001,-0.4,9.463,-1.6
342439350052612096,8.429565000000001e-05,ps,19.17054,17.22196,16.60171,16.25255,16.0772,19.092489999999998,17.18096,16.45876,16.1816,16.016560000000002,0.13300479999999998,0.1036364,0.07169519,0.05327721,0.03962845,14.460999999999999,36.9,14.543,19.2,13.004000000000001,-0.4,9.463,-1.6
343488284212619264,0.0002754756,ps,17.71718,16.56887,16.25347,15.9925,15.90189,17.67701,16.54149,16.110870000000002,15.9431,15.858770000000002,0.1286173,0.1002177,0.06933016,0.05151974,0.03832122,14.585999999999999,34.7,14.558,19.3,12.815999999999999,0.4,9.26,2.5
